,entity_name,kaggle_image_path,entity_value,prediction
5971,depth,/kaggle/input/amazon-2024-100k-imgs/images/51pRXIlJBmL.jpg,14.5 centimetre,11.0 centimetre
5972,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81l-cStTIqL.jpg,10.0 ounce,100.0 gram
5973,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/619bHowYx4L.jpg,1 kilogram,1 kilogram
5974,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61qse-sCRPS.jpg,3.0 gram,3.0 gram
5975,voltage,/kaggle/input/amazon-2024-100k-imgs/images/61SQyljXrtL.jpg,30.0 volt,12.0 volt
5976,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71G2aZIis9L.jpg,10.0 gram,10.0 gram
5977,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81eYl5V4JZL.jpg,2 gram,2.0 gram
5978,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81U17A86bDL.jpg,5 gram,1.0 milligram
5979,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71vZBTLDeaL.jpg,100.0 gram,250 gram
5980,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61IjRZyxw6L.jpg,355.0 millilitre,2.0 fluid ounce
5981,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61mr9rM4JmL.jpg,5000.0 milligram,5000.0 milligram
5982,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/810Un086fZL.jpg,5.0 gram,100 gram
5983,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71V7Me-MkVL.jpg,3 ounce,3.0 ounce
5984,width,/kaggle/input/amazon-2024-100k-imgs/images/51NSBsxwfKL.jpg,5.3 centimetre,5.3 centimetre
5985,depth,/kaggle/input/amazon-2024-100k-imgs/images/617gCrKPTnL.jpg,50.0 millimetre,10.0 inch
5986,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/91kB7KWiVqL.jpg,37.5 gram,50.0 gram
5987,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81UJ5aLcjRL.jpg,0.5 ounce,30.0 ounce
5988,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41aqVvWvvQL.jpg,2.0 pound,100.0 gram
5989,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/51dRHmgMgsL.jpg,401.0 millilitre,9.0 litre
5990,depth,/kaggle/input/amazon-2024-100k-imgs/images/61AgFw6hnfL.jpg,6.3 inch,6.3 inch
5991,depth,/kaggle/input/amazon-2024-100k-imgs/images/51hQeCJvhuL.jpg,4.25 inch,4.25 inch
5992,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81CyzAFSjHL.jpg,83.0 gram,83.0 gram
5993,depth,/kaggle/input/amazon-2024-100k-imgs/images/61-OizdJkgL.jpg,115.0 millimetre,115.0 millimetre
5994,height,/kaggle/input/amazon-2024-100k-imgs/images/51ksONjFB7L.jpg,54.0 centimetre,51.0 centimetre
5995,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71FyamWfZoL.jpg,4.0 kilogram,48.0 gram
5996,height,/kaggle/input/amazon-2024-100k-imgs/images/51o8a9xHodL.jpg,100.0 millimetre,10.0 millimetre
5997,height,/kaggle/input/amazon-2024-100k-imgs/images/51IDMtqGNAL.jpg,5.8 centimetre,5.8 centimetre
5998,height,/kaggle/input/amazon-2024-100k-imgs/images/51iAWVOOW7L.jpg,2.05 inch,2.05 inch
5999,width,/kaggle/input/amazon-2024-100k-imgs/images/61AEMjI-YPL.jpg,2.2 inch,2.2 inch
6000,height,/kaggle/input/amazon-2024-100k-imgs/images/51aqxKQbSDL.jpg,2.7 centimetre,2.7 centimetre
6001,depth,/kaggle/input/amazon-2024-100k-imgs/images/41TnQENHjUS.jpg,255.0 millimetre,255.0 millimetre
6002,width,/kaggle/input/amazon-2024-100k-imgs/images/617vwl+xC8L.jpg,27.0 centimetre,27.0 centimetre
6003,width,/kaggle/input/amazon-2024-100k-imgs/images/61Dou28jmVL.jpg,13.0 foot,4.0 metre
6004,height,/kaggle/input/amazon-2024-100k-imgs/images/51+0dME++OL.jpg,1.5 inch,3.5 inch
6005,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61nHQoDPoTL.jpg,10.0 gram,10.0 gram
6006,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61sLftallPL.jpg,8.5 gram,8.5 gram
6007,depth,/kaggle/input/amazon-2024-100k-imgs/images/6126Gg1-fwL.jpg,21.5 centimetre,21.5 centimetre
6008,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71VnA1IFMvL.jpg,23.0 gram,23.0 gram
6009,depth,/kaggle/input/amazon-2024-100k-imgs/images/61-kjuuNW4L.jpg,6.7 inch,6.0 centimetre
6010,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61lS5Dt80aL.jpg,32.0 fluid ounce,100.0 millilitre
6011,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61nQgJkqPTL.jpg,100.0 gram,100 gram
6012,width,/kaggle/input/amazon-2024-100k-imgs/images/41m2hMC7HgL.jpg,0.78 inch,32.0 millimetre
6013,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71NjLrCPgaL.jpg,1500.0 milligram,1000.0 milligram
6014,width,/kaggle/input/amazon-2024-100k-imgs/images/41M9KL0MVML.jpg,5.5 inch,63.0 centimetre
6015,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/51ie6kHGVNL.jpg,30.0 millilitre,30.0 millilitre
6016,wattage,/kaggle/input/amazon-2024-100k-imgs/images/51luiS-bJRL.jpg,0.0 watt,24.0 watt
6017,width,/kaggle/input/amazon-2024-100k-imgs/images/51jBtqL++0L.jpg,80.0 centimetre,80.0 centimetre
6018,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61V9zuyDeoL.jpg,78.0 watt,78.0 watt
6019,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61S5rUneO2L.jpg,25.0 gram,100 gram
6020,depth,/kaggle/input/amazon-2024-100k-imgs/images/51-ysST5ejL.jpg,17.5 centimetre,2.0 inch
6021,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61KFm5S+vwL.jpg,2.0 millilitre,150.0 millilitre
6022,width,/kaggle/input/amazon-2024-100k-imgs/images/51bJXxR-NRL.jpg,86.0 millimetre,86.0 millimetre
6023,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61-iJ7+kfgL.jpg,0.69 kilogram,0.69 kilogram
6024,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/71hs-VfRIyL.jpg,115 kilogram,115.0 kilogram
6025,voltage,/kaggle/input/amazon-2024-100k-imgs/images/81Doc63aJZL.jpg,"[110.0, 120.0] volt",12.0 volt
6026,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61ojrqg+46L.jpg,1500.0 milligram,1500.0 milligram
6027,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61eEqV6-T8L.jpg,2.21 pound,1 kilogram
6028,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71inwwUtX+L.jpg,10.0 ounce,5.0 gram
6029,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71nay72y08L.jpg,0.95 gram,0.95 gram
6030,width,/kaggle/input/amazon-2024-100k-imgs/images/6130GGOV2ZL.jpg,4.0 millimetre,11.8 centimetre
6031,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71quloE1LVL.jpg,400.0 gram,40.0 gram
6032,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61X5mhG1ANL.jpg,11.0 kilogram,150.0 gram
6033,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81d01ALcEYL.jpg,26 ounce,2.0 ounce
6034,height,/kaggle/input/amazon-2024-100k-imgs/images/619dRlllyVL.jpg,0.5 metre,10.0 centimetre
6035,depth,/kaggle/input/amazon-2024-100k-imgs/images/6130aM0GNZL.jpg,210.0 millimetre,7.0 centimetre
6036,depth,/kaggle/input/amazon-2024-100k-imgs/images/51UdnQzWsNL.jpg,20.0 millimetre,20.0 millimetre
6037,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/51+FmxldBOL.jpg,210.0 litre,1.0 litre
6038,depth,/kaggle/input/amazon-2024-100k-imgs/images/61-dgSABqeL.jpg,1.1 inch,28.0 millimetre
6039,height,/kaggle/input/amazon-2024-100k-imgs/images/51pOwfXFRpL.jpg,10.5 centimetre,10.5 centimetre
6040,depth,/kaggle/input/amazon-2024-100k-imgs/images/51FSRCEACiL.jpg,12.3 centimetre,12.3 centimetre
6041,height,/kaggle/input/amazon-2024-100k-imgs/images/61A+W1ow2NL.jpg,38.0 centimetre,10.0 centimetre
6042,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/712vYeaMXgL.jpg,1.0 gram,11.0 gram
6043,height,/kaggle/input/amazon-2024-100k-imgs/images/61FUFcb4kiS.jpg,7.0 inch,7.0 inch
6044,height,/kaggle/input/amazon-2024-100k-imgs/images/51T0UMvXv0L.jpg,1.18 inch,18.0 inch
6045,depth,/kaggle/input/amazon-2024-100k-imgs/images/51Q4vI15AtL.jpg,21.2 centimetre,21.3 centimetre
6046,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71zYRHVxVSL.jpg,19.0 volt,12.0 volt
6047,height,/kaggle/input/amazon-2024-100k-imgs/images/410O-GppSXS.jpg,4.7 inch,10.2 centimetre
6048,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/516X+48Rc4L.jpg,128 gram,128 gram
6049,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71ZXXhpc5ZL.jpg,33.0 pound,15.0 ounce
6050,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71JZY-nsemL.jpg,10000.0 microgram,100 gram
6051,depth,/kaggle/input/amazon-2024-100k-imgs/images/618jCvNG8ZS.jpg,11.8 inch,10.0 inch
6052,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61aZYJt4FoS.jpg,19.9 gram,19.9 gram
6053,depth,/kaggle/input/amazon-2024-100k-imgs/images/61EoM9S4SVL.jpg,25.0 millimetre,48.0 millimetre
6054,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/71+75wp1BQL.jpg,4.0 quart,15.0 millilitre
6055,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/915KYJZHbML.jpg,2.0 fluid ounce,2.0 fluid ounce
6056,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71iZqcKwFXL.jpg,30.0 watt,100.0 watt
6057,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61tzpNDc6mL.jpg,85.0 gram,100 gram
6058,width,/kaggle/input/amazon-2024-100k-imgs/images/51g19HkCpmL.jpg,15.0 inch,38.5 centimetre
6059,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41Na9bKPZkL.jpg,4.0 pound,100.0 gram
6060,width,/kaggle/input/amazon-2024-100k-imgs/images/617BL0dd7wL.jpg,5.8 inch,28.0 centimetre
6061,height,/kaggle/input/amazon-2024-100k-imgs/images/51JpxCmICwL.jpg,160.0 millimetre,100.0 millimetre
6062,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81xbT5m7c6L.jpg,10.0 gram,10.0 gram
6063,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/51koXJPZvPL.jpg,2 person,2.0 pound
6064,width,/kaggle/input/amazon-2024-100k-imgs/images/61CuKtmsd-L.jpg,76.0 millimetre,104.0 millimetre
6065,depth,/kaggle/input/amazon-2024-100k-imgs/images/51FlB81VjyL.jpg,28.0 centimetre,28.0 centimetre
6066,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71GE32ksQ4L.jpg,150 gram,2.15 ounce
6067,height,/kaggle/input/amazon-2024-100k-imgs/images/51rMH7xdzBL.jpg,6.0 centimetre,10.2 centimetre
6068,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/61HjzzlOV9L.jpg,28.0 ton,28.0 ton
6069,width,/kaggle/input/amazon-2024-100k-imgs/images/51lEF4eVV+L.jpg,41.0 centimetre,2.0 inch
6070,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71hpi+-S-sL.jpg,907.0 gram,2.0 pound
6071,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/810Ipt0RBVL.jpg,48.0 gram,100.0 gram
6072,depth,/kaggle/input/amazon-2024-100k-imgs/images/61Bl8PXtKFL.jpg,24.0 inch,24.0 inch
6073,height,/kaggle/input/amazon-2024-100k-imgs/images/51pd2PEtvFL.jpg,14.0 centimetre,14.0 centimetre
6074,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61UIFlxbvpL.jpg,7.0 litre,15.0 millilitre
6075,width,/kaggle/input/amazon-2024-100k-imgs/images/51VdnnoaNRL.jpg,22.0 centimetre,14.0 centimetre
6076,height,/kaggle/input/amazon-2024-100k-imgs/images/617afe0+hLL.jpg,95.0 centimetre,10.0 centimetre
6077,depth,/kaggle/input/amazon-2024-100k-imgs/images/617HYugWMDL.jpg,70.0 centimetre,1.7 centimetre
6078,depth,/kaggle/input/amazon-2024-100k-imgs/images/41gKpZbzW6L.jpg,13.0 centimetre,13.0 centimetre
6079,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61TE-8FHEfL.jpg,250.0 gram,15.0 kilogram
6080,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71HB7jkdrAL.jpg,"[110.0, 120.0] volt","[110.0, 120.0]"
6081,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/716Zd6S6FoL.jpg,12.0 ounce,2.0 pound
6082,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81CdJmhy94L.jpg,126.0 gram,1000.0 gram
6083,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61Z2toLyoxL.jpg,11.2 gram,11.2 gram
6084,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/710g1lFXFlL.jpg,200.0 gram,100 gram
6085,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/812JC+hTrbL.jpg,100.0 millilitre,2.0 fluid ounce
6086,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71QVT3hyJzL.jpg,"[85.0, 265.0] volt","[85.0, 265.0] volt"
6087,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/719i93TrN2L.jpg,150 kilogram,150 kilogram
6088,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71VgnkEg1bL.jpg,170.0 gram,11.0 ounce
6089,wattage,/kaggle/input/amazon-2024-100k-imgs/images/51N0YrmUaPL.jpg,18.0 watt,5.0 watt
6090,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81MolpgQftL.jpg,10 kilogram to 30 kilogram,30.0 kilogram
6091,depth,/kaggle/input/amazon-2024-100k-imgs/images/619oWpXfGiL.jpg,16.0 centimetre,25.0 centimetre
6092,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71E2XFwW5OL.jpg,2 kilogram,100.0 gram
6093,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61z6Eu3JuoL.jpg,150.0 microgram,150.0 microgram
6094,depth,/kaggle/input/amazon-2024-100k-imgs/images/51dZ5Amsx+L.jpg,15.0 centimetre,15.0 centimetre
6095,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81MJKQUSQGL.jpg,600.0 gram,100.0 gram
6096,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61IztM8suAL.jpg,60.0 watt,60.0 watt
6097,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61-s1KVQ5kL.jpg,5 gram,5.0 gram
6098,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/61xlILsuRWS.jpg,115 kilogram,115.0 kilogram
6099,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61OjnPwELrL.jpg,183.0 gram,183.0 gram
6100,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71p5ajSXLuL.jpg,54.0 gram,14.0 gram
6101,voltage,/kaggle/input/amazon-2024-100k-imgs/images/61sPip-ANTL.jpg,94.0 volt,12.0 volt
6102,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71GYDUhWZnS.jpg,5.0 volt,12.0 volt
6103,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81BuQRGSsML.jpg,280.0 gram,100.0 gram
6104,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51eqp98QfBL.jpg,100.0 gram,100.0 gram
6105,width,/kaggle/input/amazon-2024-100k-imgs/images/618k6DJ8kHL.jpg,10.0 centimetre,360.0 inch
6106,height,/kaggle/input/amazon-2024-100k-imgs/images/51qQMyzUGsL.jpg,9.0 inch,9.0 inch
6107,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61hqvzGbgbL.jpg,950.0 gram,100 gram
6108,height,/kaggle/input/amazon-2024-100k-imgs/images/51KKC-H835L.jpg,18.0 inch,45.0 centimetre
6109,width,/kaggle/input/amazon-2024-100k-imgs/images/51EDsu-DyOL.jpg,198.0 centimetre,132.0 centimetre
6110,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/91sLJWoFkiL.jpg,125.0 gram,125.0 gram
6111,height,/kaggle/input/amazon-2024-100k-imgs/images/51uIM104InL.jpg,9.7 inch,9.7 inch
6112,depth,/kaggle/input/amazon-2024-100k-imgs/images/516GhyOozyS.jpg,204.0 millimetre,204.0 millimetre
6113,height,/kaggle/input/amazon-2024-100k-imgs/images/51tjgFzwbpL.jpg,12.0 centimetre,12.0 centimetre
6114,depth,/kaggle/input/amazon-2024-100k-imgs/images/610f3OnO+PL.jpg,17.5 centimetre,10.0 centimetre
6115,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81NEj6WbgvL.jpg,200 milligram,200.0 milligram
6116,height,/kaggle/input/amazon-2024-100k-imgs/images/51-728gLO9L.jpg,20.0 centimetre,20.0 centimetre
6117,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71ownO-0epL.jpg,2.8 kilogram,2.8 kilogram
6118,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41Bj7t7ImML.jpg,60.0 gram,100.0 gram
6119,height,/kaggle/input/amazon-2024-100k-imgs/images/41mxruVeCLL.jpg,11.0 centimetre,7.0 inch
6120,width,/kaggle/input/amazon-2024-100k-imgs/images/51yziLGalML.jpg,1.0 centimetre,1.0 centimetre
6121,depth,/kaggle/input/amazon-2024-100k-imgs/images/61-d5oRDHlL.jpg,22.5 centimetre,22.5 centimetre
6122,depth,/kaggle/input/amazon-2024-100k-imgs/images/5195DG+KAtL.jpg,9.1 inch,9.1 inch
6123,depth,/kaggle/input/amazon-2024-100k-imgs/images/51IBgYB14zL.jpg,4.8 inch,6.0 inch
6124,width,/kaggle/input/amazon-2024-100k-imgs/images/41XS32dCgKL.jpg,8.5 centimetre,8.5 centimetre
6125,voltage,/kaggle/input/amazon-2024-100k-imgs/images/61ERmkQ5JwL.jpg,12.0 volt,12.0 volt
6126,width,/kaggle/input/amazon-2024-100k-imgs/images/41tC9QV42UL.jpg,82.0 inch,82.0 inch
6127,depth,/kaggle/input/amazon-2024-100k-imgs/images/51+tgCSzt1L.jpg,12.4 inch,23.5 centimetre
6128,height,/kaggle/input/amazon-2024-100k-imgs/images/5137Uq8pGMS.jpg,0.8 inch,51.0 millimetre
6129,depth,/kaggle/input/amazon-2024-100k-imgs/images/5199rWpUc7L.jpg,10.0 centimetre,10.0 centimetre
6130,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51I22irMcqL.jpg,3000.0 microgram,150.0 gram
6131,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/91+ZTMyIeFL.jpg,300.0 gram,300.0 gram
6132,width,/kaggle/input/amazon-2024-100k-imgs/images/61-JgPQ2rwL.jpg,154.0 millimetre,223.0 millimetre
6133,width,/kaggle/input/amazon-2024-100k-imgs/images/61-GD6dp0dL.jpg,4.0 centimetre,4.0 centimetre
6134,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71U1TIRrQeS.jpg,"[0.0, 10.0] volt","[0.0, 10.0] volt"
6135,height,/kaggle/input/amazon-2024-100k-imgs/images/51ClKI6b7ML.jpg,8.9 inch,8.9 inch
6136,voltage,/kaggle/input/amazon-2024-100k-imgs/images/91USaihBMsL.jpg,12.0 volt,12.0 volt
6137,width,/kaggle/input/amazon-2024-100k-imgs/images/61FCSg66zeL.jpg,6.37 inch,6.37 inch
6138,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71PuL88nBrL.jpg,50.0 milligram,40.0 milligram
6139,height,/kaggle/input/amazon-2024-100k-imgs/images/51KhTXwOzwS.jpg,9.5 centimetre,10.0 centimetre
6140,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/51LIRaKYF8L.jpg,3.0 fluid ounce,1.0 fluid ounce
6141,height,/kaggle/input/amazon-2024-100k-imgs/images/51NPcVsoHCL.jpg,66.0 centimetre,65.0 centimetre
6142,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/916SAQo6DpL.jpg,20.0 pound,15.0 gram
6143,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71lkkNYdokL.jpg,20.0 milligram,20.0 milligram
6144,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/717Og1uU1LL.jpg,53.0 gram,100.0 gram
6145,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61du9J2s+hL.jpg,14.0 gram,14.0 gram
6146,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/513J0U18-RL.jpg,2.0 gram,2.0 gram
6147,height,/kaggle/input/amazon-2024-100k-imgs/images/51nkDQCoJlL.jpg,10.0 centimetre,11.0 centimetre
6148,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61p-WZt2qwL.jpg,250.0 watt,250.0 watt
6149,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71tDE6MFGrL.jpg,15.0 kilogram,100.0 gram
6150,width,/kaggle/input/amazon-2024-100k-imgs/images/412FL0g3vrL.jpg,2.0 centimetre,2.0 centimetre
6151,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61qGvBHMN2L.jpg,100.0 gram,1.0 ounce
6152,depth,/kaggle/input/amazon-2024-100k-imgs/images/61DDQBusPaL.jpg,2.0 inch,1.0 inch
6153,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/41oqdrtb9jL.jpg,1929.0 decilitre,100.0 millilitre
6154,depth,/kaggle/input/amazon-2024-100k-imgs/images/614uECaPEeL.jpg,28.0 centimetre,35.0 centimetre
6155,width,/kaggle/input/amazon-2024-100k-imgs/images/61-1RMgwWTL.jpg,17.0 centimetre,17.0 centimetre
6156,depth,/kaggle/input/amazon-2024-100k-imgs/images/51uCS1Lj6OL.jpg,125.0 millimetre,125.0 millimetre
6157,width,/kaggle/input/amazon-2024-100k-imgs/images/61-vsVbYzfL.jpg,7.6 inch,7.6 inch
6158,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81+zg1mje4L.jpg,24.0 gram,24.0 gram
6159,height,/kaggle/input/amazon-2024-100k-imgs/images/41TesnVuUjL.jpg,100.0 millimetre,100.0 millimetre
6160,width,/kaggle/input/amazon-2024-100k-imgs/images/51IqwqYoxLL.jpg,11.0 centimetre,11.0 centimetre
6161,width,/kaggle/input/amazon-2024-100k-imgs/images/51VNObcEOfS.jpg,32.5 inch,32.5 inch
6162,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81rl3Ht9qcL.jpg,400.0 gram,400 gram
6163,width,/kaggle/input/amazon-2024-100k-imgs/images/618+RTOfZ-L.jpg,17.0 inch,10.0 inch
6164,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41S3orbld4L.jpg,1000.0 gram,1000.0 gram
6165,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/612srH1-sVL.jpg,50.0 milligram,50.0 milligram
6166,width,/kaggle/input/amazon-2024-100k-imgs/images/517JYb64FgL.jpg,60.0 millimetre,36.0 millimetre
6167,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61-nFpua9QS.jpg,0.019 pound,0.019 pound
6168,width,/kaggle/input/amazon-2024-100k-imgs/images/51FAc6CE8sL.jpg,50.0 millimetre,50.0 millimetre
6169,height,/kaggle/input/amazon-2024-100k-imgs/images/51nJeoqC4QL.jpg,60.0 centimetre,60.0 centimetre
6170,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61zclI7eHbL.jpg,50 kilogram,100.0 kilogram
6171,height,/kaggle/input/amazon-2024-100k-imgs/images/6194jZapVOL.jpg,4.7 centimetre,11.5 inch
6172,width,/kaggle/input/amazon-2024-100k-imgs/images/51aQKjg28WL.jpg,7.9 inch,11.0 inch
6173,depth,/kaggle/input/amazon-2024-100k-imgs/images/51sVV8bZecL.jpg,120.0 millimetre,120.0 millimetre
6174,height,/kaggle/input/amazon-2024-100k-imgs/images/51l-09mnGGL.jpg,5.11 inch,2.75 inch
6175,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/91FZ0P9OF9L.jpg,750.0 milligram,20.0 gram
6176,depth,/kaggle/input/amazon-2024-100k-imgs/images/61DjAwTrS4L.jpg,2.0 centimetre,30.8 centimetre
6177,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/518PMHwxcGL.jpg,0.5 pound,0.5 pound
6178,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71EnfIdGPoL.jpg,48.0 volt,12.0 volt
6179,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61o+RU-V18L.jpg,8.0 ton,8.0 ton
6180,depth,/kaggle/input/amazon-2024-100k-imgs/images/61CToMyTd7L.jpg,6.0 foot,2.0 inch
6181,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81SKsRXErpL.jpg,50 gram,50 gram
6182,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71oDCv9RWmL.jpg,1.0 kilogram,5.0 gram
6183,height,/kaggle/input/amazon-2024-100k-imgs/images/51DIcLCdgZL.jpg,14.1 centimetre,14.0 centimetre
6184,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/5112T+cSHyL.jpg,1.2 gram,36.0 gram
6185,depth,/kaggle/input/amazon-2024-100k-imgs/images/41hvyLFM34L.jpg,220.0 millimetre,92.0 millimetre
6186,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/812OtaIdj1L.jpg,1000.0 milligram,1000.0 milligram
6187,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/71QCSioS-oL.jpg,2.7 fluid ounce,17.0 fluid ounce
6188,depth,/kaggle/input/amazon-2024-100k-imgs/images/5182N0tth3L.jpg,21.0 centimetre,21.0 centimetre
6189,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/611k31b8QdL.jpg,0.17 kilogram,0.17 kilogram
6190,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61A0ikY8rcL.jpg,5.0 pint,1.0 fluid ounce
6191,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81arN5EfBGL.jpg,24.0 pound,42.0 pound
6192,width,/kaggle/input/amazon-2024-100k-imgs/images/51idtV1olzL.jpg,9.5 centimetre,9.5 centimetre
6193,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71GHscKE9IS.jpg,1 gram,3.0 gram
6194,height,/kaggle/input/amazon-2024-100k-imgs/images/61BXbw+EDTL.jpg,8.3 centimetre,17.5 centimetre
6195,height,/kaggle/input/amazon-2024-100k-imgs/images/6151yUXtwtL.jpg,25.0 inch,25.0 inch
6196,height,/kaggle/input/amazon-2024-100k-imgs/images/51oK1tpdb8L.jpg,52.0 inch,10.0 centimetre
6197,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81JvLcGte3L.jpg,60.0 gram,60.0 gram
6198,depth,/kaggle/input/amazon-2024-100k-imgs/images/41r0ivTNDLL.jpg,10.0 centimetre,7.4 centimetre
